,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
86,In Good Company,"6,13,15,215","4,58,06,659",74.70%,"1,55,08,556",25.30%,2004
87,Sky Captain and the World of Tomorrow,"5,79,47,036","3,77,62,677",65.20%,"2,01,84,359",34.80%,2004
88,Cellular,"5,76,78,321","3,20,03,620",55.50%,"2,56,74,701",44.50%,2004
89,The Motorcycle Diaries,"5,76,63,224","1,67,81,387",29.10%,"4,08,81,837",70.90%,2004
90,Seven Dwarves,"5,74,10,311",0,0,"5,74,10,311",100%,2004
91,Walking Tall,"5,72,23,890","4,64,37,717",81.20%,"1,07,86,173",18.80%,2004
92,Spanglish,"5,54,70,154","4,27,26,869",77%,"1,27,43,285",23%,2004
93,The Punisher,"5,47,00,105","3,38,10,189",61.80%,"2,08,89,916",38.20%,2004
94,Open Water,"5,46,83,487","3,06,10,863",56%,"2,40,72,624",44%,2004
95,Team America: World Police,"5,08,26,898","3,27,86,074",64.50%,"1,80,40,824",35.50%,2004
96,You Got Served,"5,05,76,805","4,03,63,810",79.80%,"1,02,12,995",20.20%,2004
97,Raising Helen,"4,97,18,611","3,74,86,512",75.40%,"1,22,32,099",24.60%,2004
98,Fat Albert,"4,85,51,322","4,81,16,322",99.10%,"4,35,000",0.90%,2004
99,Be with You,"4,66,16,207",0,0,"4,66,16,207",100%,2004
100,Napoleon Dynamite,"4,61,18,097","4,45,40,956",96.60%,"15,77,141",3.40%,2004
101,The Sea Inside,"4,36,85,449","21,04,923",4.80%,"4,15,80,526",95.20%,2004
102,Wimbledon,"4,16,82,237","1,70,01,133",40.80%,"2,46,81,104",59.20%,2004
103,Twisted,"4,09,54,603","2,51,98,598",61.50%,"1,57,56,005",38.50%,2004
104,Bad Education,"4,03,50,837","52,11,842",12.90%,"3,51,38,995",87.10%,2004
105,Crimson Rivers 2: Angels of the Apocalypse,"4,01,52,148","1,52,148",0.40%,"4,00,00,000",99.60%,2004
106,The Prince and Me,"3,76,66,766","2,81,76,497",74.80%,"94,90,269",25.20%,2004
107,Garden State,"3,58,25,316","2,67,82,316",74.80%,"90,43,000",25.20%,2004
108,Jersey Girl,"3,54,92,921","2,52,68,157",71.20%,"1,02,24,764",28.80%,2004
109,Alfie,"3,50,60,882","1,33,99,812",38.20%,"2,16,61,070",61.80%,2004
110,Flight of the Phoenix,"3,50,21,497","2,10,09,180",60%,"1,40,12,317",40%,2004
111,The Life Aquatic with Steve Zissou,"3,48,08,403","2,40,20,403",69%,"1,07,88,000",31%,2004
112,Pokémon the Movie: Destiny Deoxys,"3,43,37,258",0,0,"3,43,37,258",100%,2004
113,Hotel Rwanda,"3,38,82,243","2,35,30,892",69.40%,"1,03,51,351",30.60%,2004
114,Confessions of a Teenage Drama Queen,"3,32,51,890","2,93,31,068",88.20%,"39,20,822",11.80%,2004
115,Night Watch,"3,23,96,890",0,0,"3,23,96,890",100%,2004
116,Johnson Family Vacation,"3,13,26,183","3,12,03,964",99.60%,"1,22,219",0.40%,2004
117,The Girl Next Door,"3,03,81,722","1,45,89,444",48%,"1,57,92,278",52%,2004
118,Godsend,"3,01,20,671","1,43,79,751",47.70%,"1,57,40,920",52.30%,2004
119,Shaun of the Dead,"3,00,39,392","1,35,42,874",45.10%,"1,64,96,518",54.90%,2004
120,Yu0Gi0Oh!: The Movie 0 Pyramid of Light,"2,91,44,802","1,97,65,868",67.80%,"93,78,934",32.20%,2004
121,Agent Cody Banks 2: Destination London,"2,88,18,995","2,36,30,159",82%,"51,88,836",18%,2004
122,Thunderbirds,"2,82,83,637","68,80,917",24.30%,"2,14,02,720",75.70%,2004
123,Dirty Dancing: Havana Nights,"2,76,85,016","1,41,61,590",51.20%,"1,35,23,426",48.80%,2004
124,Ella Enchanted,"2,73,88,767","2,29,18,387",83.70%,"44,70,380",16.30%,2004
125,Doraemon: Nobita in the Wan0Nyan Spacetime Odyssey,"2,66,63,978",0,0,"2,66,63,978",100%,2004
126,The Whole Ten Yards,"2,61,70,671","1,63,28,471",62.40%,"98,42,200",37.60%,2004
127,The Alamo,"2,58,19,961","2,24,14,961",86.80%,"34,05,000",13.20%,2004
128,Seed of Chucky,"2,48,29,644","1,70,83,732",68.80%,"77,45,912",31.20%,2004
129,Bride & Prejudice,"2,47,16,440","66,05,592",26.70%,"1,81,10,848",73.30%,2004
130,Podium,"2,45,11,116",0,0,"2,45,11,116",100%,2004
131,Harold & Kumar Go to White Castle,"2,39,36,908","1,82,50,550",76.20%,"56,86,358",23.80%,2004
132,Birth,"2,39,25,492","50,95,038",21.30%,"1,88,30,454",78.70%,2004
133,Christmas in Love,"2,26,68,087",0,0,"2,26,68,087",100%,2004
134,Detective Conan: Magician of the Silver Sky,"2,26,18,511",0,0,"2,26,18,511",100%,2004
135,EuroTrip,"2,26,05,153","1,77,71,387",78.60%,"48,33,766",21.40%,2004
136,Quill: The Life of a Guide Dog,"2,22,98,559",0,0,"2,22,98,559",100%,2004
137,NASCAR: The IMAX Experience,"2,22,48,831","2,15,83,831",97%,"6,65,000",3%,2004
138,Little Black Book,"2,20,35,509","2,06,98,668",93.90%,"13,36,841",6.10%,2004
139,Do You Know Claudia?,"2,18,52,972",0,0,"2,18,52,972",100%,2004
140,Mr. 3000,"2,18,39,377","2,18,11,187",99.90%,"28,190",0.10%,2004
141,Wicker Park,"2,15,68,818","1,30,01,257",60.30%,"85,67,561",39.70%,2004
142,Win a Date with Tad Hamilton!,"2,15,13,434","1,70,71,962",79.40%,"44,41,472",20.60%,2004
143,The Merchant of Venice,"2,14,17,725","37,65,585",17.60%,"1,76,52,140",82.40%,2004
144,New York Minute,"2,12,89,826","1,40,71,441",66.10%,"72,18,385",33.90%,2004
145,Mindhunters,"2,11,48,829","44,80,744",21.20%,"1,66,68,085",78.80%,2004
146,G.O.R.A.,"2,08,39,049",0,0,"2,08,39,049",100%,2004
147,Super Size Me,"2,06,45,757","1,15,36,423",55.90%,"91,09,334",44.10%,2004
148,The 11 Commandments,"2,05,37,839",0,0,"2,05,37,839",100%,2004
149,Ladies in Lavender,"2,03,77,075","67,65,081",33.20%,"1,36,11,994",66.80%,2004
150,Melinda and Melinda,"2,01,29,327","38,26,280",19%,"1,63,03,047",81%,2004
151,I Heart Huckabees,"2,00,72,172","1,27,85,432",63.70%,"72,86,740",36.30%,2004
152,2046,"1,94,70,239","14,44,588",7.40%,"1,80,25,651",92.60%,2004
153,Vanity Fair,"1,94,63,185","1,61,36,476",82.90%,"33,26,709",17.10%,2004
154,Windstruck,"1,92,25,992",0,0,"1,92,25,992",100%,2004
155,The Corsican File,"1,89,22,216",0,0,"1,89,22,216",100%,2004
156,Swing Girls,"1,87,58,613",0,0,"1,87,58,613",100%,2004
157,Look at Me,"1,87,29,751","17,37,308",9.30%,"1,69,92,443",90.70%,2004
158,De0Lovely,"1,86,11,951","1,34,56,633",72.30%,"51,55,318",27.70%,2004
159,My Baby's Daddy,"1,84,90,423","1,76,69,317",95.60%,"8,21,106",4.40%,2004
160,Quai des illusions,"1,82,91,248",0,0,"1,82,91,248",100%,2004
161,Kinsey,"1,70,50,017","1,02,54,979",60.10%,"67,95,038",39.90%,2004
162,Catch That Kid,"1,69,51,702","1,67,03,799",98.50%,"2,47,903",1.50%,2004
163,Paparazzi,"1,67,96,512","1,57,14,234",93.60%,"10,82,278",6.40%,2004
164,One Missed Call,"1,63,67,880",0,0,"1,63,67,880",100%,2004
165,"Nin x Nin: Ninja Hattori0kun, the Movie","1,63,51,134",0,0,"1,63,51,134",100%,2004
166,What the #*! Do We (K)now!?,"1,59,98,178","1,09,42,306",68.40%,"50,55,872",31.60%,2004
167,Before Sunset,"1,58,54,307","58,20,649",36.70%,"1,00,29,110",63.30%,2004
168,Lucky Luke and the Daltons,"1,58,23,762",0,0,"1,58,23,762",100%,2004
169,Surviving Christmas,"1,51,25,687","1,16,63,156",77.10%,"34,62,531",22.90%,2004
170,The Last Trapper,"1,49,05,929",0,0,"1,49,05,929",100%,2004
171,Raise Your Voice,"1,48,67,514","1,04,11,980",70%,"44,55,534",30%,2004
172,Soul Plane,"1,48,21,824","1,41,90,750",95.70%,"6,31,074",4.30%,2004
173,Half a Confession,"1,46,38,660",0,0,"1,46,38,660",100%,2004
174,Welcome to Mooseport,"1,46,15,099","1,44,70,947",99%,"1,44,152",1%,2004
175,Envy,"1,44,94,036","1,35,62,325",93.60%,"9,31,711",6.40%,2004
176,Being Julia,"1,43,39,171","77,39,049",54%,"66,00,122",46%,2004
177,Vizontele Tuuba,"1,39,54,476",0,0,"1,39,54,476",100%,2004
178,French Spies,"1,38,44,465",0,0,"1,38,44,465",100%,2004
179,Der Wixxer,"1,36,07,165",0,0,"1,36,07,165",100%,2004
180,One Piece: The Cursed Holy Sword,"1,34,22,333",0,0,"1,34,22,333",100%,2004
181,Umizaru,"1,33,61,623",0,0,"1,33,61,623",100%,2004
182,RRRrrrr!!!,"1,33,15,054","54,361",0.40%,"1,32,60,693",99.60%,2004
183,Vera Drake,"1,32,67,869","37,75,283",28.50%,"94,92,586",71.50%,2004
184,Mariages!,"1,29,91,310",0,0,"1,29,91,310",100%,2004
185,Maria Full of Grace,"1,25,94,630","65,29,624",51.80%,"60,65,006",48.20%,2004
186,Breakin' All the Rules,"1,25,44,254","1,22,64,319",97.80%,"2,79,935",2.20%,2004
187,The Clearing,"1,25,20,799","57,63,875",46%,"67,56,924",54%,2004
188,Casshern,"1,23,53,768",0,0,"1,23,53,768",100%,2004
189,Chasing Liberty,"1,23,13,323","1,21,95,626",99%,"1,17,697",1%,2004
190,Don't Move,"1,20,71,007","3,37,265",2.80%,"1,17,33,742",97.20%,2004
191,Kureyon Shin0chan 2004 Re0release,"1,20,66,375",0,0,"1,20,66,375",100%,2004
192,The Cookout,"1,20,09,070","1,18,14,019",98.40%,"1,95,051",1.60%,2004
193,Layer Cake,"1,18,50,214","23,39,957",19.70%,"95,10,257",80.30%,2004
194,Suspect Zero,"1,14,16,075","87,25,813",76.40%,"26,90,262",23.60%,2004
195,Connie and Carla,"1,13,41,016","80,85,771",71.30%,"32,55,245",28.70%,2004
196,Naruto the Movie: Ninja Clash in the Land of Snow,"1,11,41,307",0,0,"1,11,41,307",100%,2004
197,Head0On,"1,10,30,861","4,35,395",3.90%,"1,05,95,466",96.10%,2004
198,District B13,"1,09,76,892","12,00,216",10.90%,"97,76,676",89.10%,2004
199,The Perfect Score,"1,08,98,337","1,03,91,003",95.30%,"5,07,334",4.70%,2004
0,Harry Potter and the Goblet of Fire,"89,59,21,036","29,00,13,036",32.40%,"60,59,08,000",67.60%,2005
1,Star Wars: Episode III 0 Revenge of the Sith,"86,83,52,530","38,02,70,577",43.80%,"48,80,81,953",56.20%,2005
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","74,50,13,115","29,17,10,957",39.20%,"45,33,02,158",60.80%,2005
3,War of the Worlds,"60,38,73,119","23,42,80,354",38.80%,"36,95,92,765",61.20%,2005
4,King Kong,"55,69,06,378","21,80,80,025",39.20%,"33,88,26,353",60.80%,2005
5,Madagascar,"54,20,63,846","19,35,95,521",35.70%,"34,84,68,325",64.30%,2005
6,Mr. & Mrs. Smith,"48,72,87,646","18,63,36,279",38.20%,"30,09,51,367",61.80%,2005
7,Charlie and the Chocolate Factory,"47,49,68,763","20,64,59,076",43.50%,"26,85,09,687",56.50%,2005
8,Batman Begins,"37,34,43,774","20,53,43,774",55%,"16,81,00,000",45%,2005
9,Hitch,"37,15,94,210","17,94,95,555",48.30%,"19,20,98,655",51.70%,2005
10,Fantastic Four,"33,35,35,934","15,46,96,080",46.40%,"17,88,39,854",53.60%,2005
11,Chicken Little,"31,44,32,837","13,53,86,665",43.10%,"17,90,46,172",56.90%,2005
12,Wedding Crashers,"28,84,67,645","20,92,55,921",72.50%,"7,92,11,724",27.50%,2005
13,Robots,"26,25,11,490","12,82,00,012",48.80%,"13,43,11,478",51.20%,2005
14,Constantine,"23,08,84,728","7,59,76,178",32.90%,"15,49,08,550",67.10%,2005
15,Flightplan,"22,33,87,299","8,97,07,299",40.20%,"13,36,80,000",59.80%,2005
16,Kingdom of Heaven,"21,81,22,627","4,73,98,413",21.70%,"17,07,24,214",78.30%,2005
17,Fun with Dick and Jane,"20,46,81,899","11,03,32,737",53.90%,"9,43,49,162",46.10%,2005
18,The Pacifier,"19,86,36,868","11,30,86,868",56.90%,"8,55,50,000",43.10%,2005
19,Wallace & Gromit: The Curse of the Were0Rabbit,"19,26,14,977","5,61,10,897",29.10%,"13,65,04,080",70.90%,2005
20,The Longest Yard,"19,14,66,556","15,81,19,460",82.60%,"3,33,47,096",17.40%,2005
21,Walk the Line,"18,67,97,986","11,95,19,402",64%,"6,72,78,584",36%,2005
22,Brokeback Mountain,"17,80,62,759","8,30,43,761",46.60%,"9,50,18,998",53.40%,2005
23,The 400Year0Old Virgin,"17,73,78,645","10,94,49,237",61.70%,"6,79,29,408",38.30%,2005
24,The Ring Two,"16,39,95,949","7,62,31,249",46.50%,"8,77,64,700",53.50%,2005
25,The Island,"16,29,49,164","3,58,18,913",22%,"12,71,30,251",78%,2005
26,The Interpreter,"16,29,44,923","7,27,08,161",44.60%,"9,02,36,762",55.40%,2005
27,Memoirs of a Geisha,"16,22,42,962","5,74,90,508",35.40%,"10,47,52,454",64.60%,2005
28,Sin City,"15,87,33,820","7,41,03,820",46.70%,"8,46,30,000",53.30%,2005
29,Monster0in0Law,"15,54,57,327","8,29,31,301",53.30%,"7,25,26,026",46.70%,2005
30,Saw II,"14,77,48,505","8,70,39,965",58.90%,"6,07,08,540",41.10%,2005
31,The Exorcism of Emily Rose,"14,51,66,804","7,50,72,454",51.70%,"7,00,94,350",48.30%,2005
32,Herbie Fully Loaded,"14,41,46,816","6,60,23,816",45.80%,"7,81,23,000",54.20%,2005
33,The Legend of Zorro,"14,24,00,065","4,64,64,023",32.60%,"9,59,36,042",67.40%,2005
34,Bewitched,"13,14,26,169","6,33,13,159",48.20%,"6,81,13,010",51.80%,2005
35,Munich,"13,09,82,129","4,74,03,685",36.20%,"8,35,78,444",63.80%,2005
36,Cheaper by the Dozen 2,"13,01,54,568","8,25,71,173",63.40%,"4,75,83,395",36.60%,2005
37,March of the Penguins,"12,73,92,693","7,74,37,223",60.80%,"4,99,55,470",39.20%,2005
38,Nanny McPhee,"12,32,76,807","4,71,44,110",38.20%,"7,61,32,697",61.80%,2005
39,Hide and Seek,"12,32,04,920","5,11,00,486",41.50%,"7,21,04,434",58.50%,2005
40,Pride & Prejudice,"12,16,16,555","3,84,05,088",31.60%,"8,32,11,467",68.40%,2005
41,Sahara,"11,92,40,351","6,86,71,925",57.60%,"5,05,68,426",42.40%,2005
42,Corpse Bride,"11,80,90,836","5,33,59,111",45.20%,"6,47,31,725",54.80%,2005
43,The Dukes of Hazzard,"11,10,69,515","8,02,70,227",72.30%,"3,07,99,288",27.70%,2005
44,Hoodwinked!,"11,00,13,167","5,13,86,611",46.70%,"5,86,26,556",53.30%,2005
45,Cinderella Man,"10,85,39,911","6,16,49,911",56.80%,"4,68,90,000",43.20%,2005
46,The Amityville Horror,"10,75,16,369","6,52,33,369",60.70%,"4,22,83,000",39.30%,2005
47,The Brothers Grimm,"10,53,16,267","3,79,16,267",36%,"6,74,00,000",64%,2005
48,The Hitchhiker's Guide to the Galaxy,"10,44,78,416","5,10,85,416",48.90%,"5,33,93,000",51.10%,2005
49,Guess Who,"10,31,21,466","6,89,15,888",66.80%,"3,42,05,578",33.20%,2005
50,Just Like Heaven,"10,28,54,431","4,83,18,130",47%,"5,45,36,301",53%,2005
51,Miss Congeniality 2: Armed & Fabulous,"10,13,93,569","4,84,78,006",47.80%,"5,29,15,563",52.20%,2005
52,Crash,"9,84,10,061","5,45,80,300",55.50%,"4,38,29,761",44.50%,2005
53,Are We There Yet?,"9,79,18,663","8,26,74,398",84.40%,"1,52,44,265",15.60%,2005
54,Jarhead,"9,70,76,152","6,26,58,220",64.50%,"3,44,17,932",35.50%,2005
55,Red Eye,"9,62,58,201","5,78,91,803",60.10%,"3,83,66,398",39.90%,2005
56,Be Cool,"9,57,63,716","5,60,46,979",58.50%,"3,97,16,737",41.50%,2005
57,The Skeleton Key,"9,39,83,911","4,79,07,715",51%,"4,60,76,196",49%,2005
58,Syriana,"9,39,74,620","5,08,24,620",54.10%,"4,31,50,000",45.90%,2005
59,The Family Stone,"9,28,84,429","6,00,62,868",64.70%,"3,28,21,561",35.30%,2005
60,Four Brothers,"9,23,74,674","7,44,94,381",80.60%,"1,78,80,293",19.40%,2005
61,White Noise,"9,11,96,419","5,63,86,759",61.80%,"3,48,09,660",38.20%,2005
62,Racing Stripes,"9,07,54,475","4,97,72,522",54.80%,"4,09,81,953",45.20%,2005
63,Transporter 2,"8,90,83,229","4,30,95,856",48.40%,"4,59,87,373",51.60%,2005
64,Rumor Has It...,"8,89,33,562","4,30,00,262",48.40%,"4,59,33,300",51.60%,2005
65,Sky High,"8,63,69,815","6,39,46,815",74%,"2,24,23,000",26%,2005
66,Match Point,"8,56,38,656","2,31,51,529",27%,"6,24,87,127",73%,2005
67,In Her Shoes,"8,36,97,473","3,28,80,591",39.30%,"5,08,16,882",60.70%,2005
68,The Constant Gardener,"8,24,66,670","3,35,79,797",40.70%,"4,88,86,873",59.30%,2005
69,Stealth,"7,92,68,322","3,21,16,746",40.50%,"4,71,51,576",59.50%,2005
70,Hostage,"7,76,08,617","3,46,39,939",44.60%,"4,29,68,678",55.40%,2005
71,Coach Carter,"7,66,69,554","6,72,64,877",87.70%,"94,04,677",12.30%,2005
72,The King and the Clown,"7,44,66,867",0,0,"7,44,66,867",100%,2005
73,"Yours, Mine & Ours","7,26,62,923","5,34,12,862",73.50%,"1,92,50,061",26.50%,2005
74,Lord of War,"7,26,17,068","2,41,49,632",33.30%,"4,84,67,436",66.70%,2005
75,The Adventures of Sharkboy and Lavagirl 30D,"7,19,92,655","3,91,77,684",54.40%,"3,28,14,971",45.60%,2005
76,xXx: State of the Union,"7,14,10,636","2,68,73,932",37.60%,"4,45,36,704",62.40%,2005
77,House of Wax,"6,87,66,121","3,20,64,800",46.60%,"3,67,01,321",53.40%,2005
78,Prime,"6,79,37,494","2,28,27,153",33.60%,"4,51,10,341",66.40%,2005
79,Boogeyman,"6,71,92,859","4,67,52,382",69.60%,"2,04,40,477",30.40%,2005
80,Zathura: A Space Adventure,"6,50,79,236","2,92,58,869",45%,"3,58,20,235",55%,2005
81,Valiant,"6,17,46,888","1,94,78,106",31.50%,"4,22,68,782",68.50%,2005
82,A History of Violence,"6,13,85,065","3,15,04,633",51.30%,"2,98,80,432",48.70%,2005
83,Son of the Mask,"5,99,81,548","1,70,18,422",28.40%,"4,29,63,126",71.60%,2005
84,Must Love Dogs,"5,82,31,520","4,38,94,863",75.40%,"1,43,36,657",24.60%,2005
85,Doom,"5,80,72,119","2,82,12,337",48.60%,"2,98,59,782",51.40%,2005
86,Derailed,"5,74,79,076","3,60,24,076",62.70%,"2,14,55,000",37.30%,2005
87,The Descent,"5,70,51,053","2,60,24,456",45.60%,"3,10,26,597",54.40%,2005
88,Elektra,"5,69,95,646","2,44,09,722",42.80%,"3,25,85,924",57.20%,2005
89,Kicking & Screaming,"5,60,70,433","5,28,42,724",94.20%,"32,27,709",5.80%,2005
90,"Good Night, and Good Luck.","5,46,41,191","3,15,58,003",57.80%,"2,30,83,188",42.20%,2005
91,Æon Flux,"5,33,21,673","2,58,74,337",48.50%,"2,74,47,336",51.50%,2005
92,Pooh's Heffalump Movie,"5,28,58,433","1,80,98,433",34.20%,"3,47,60,000",65.80%,2005
93,Elizabethtown,"5,21,64,016","2,68,50,426",51.50%,"2,53,13,590",48.50%,2005
94,Just Friends,"5,09,12,434","3,26,19,671",64.10%,"1,82,92,763",35.90%,2005
95,Unleashed,"5,08,71,113","2,45,37,621",48.20%,"2,63,33,492",51.80%,2005
96,Diary of a Mad Black Woman,"5,06,52,203","5,06,33,099",100%,"19,104",<0.1%,2005
97,Fever Pitch,"5,06,05,163","4,20,71,069",83.10%,"85,34,094",16.90%,2005
98,Capote,"4,93,27,405","2,87,50,530",58.30%,"2,05,76,875",41.70%,2005
99,Broken Flowers,"4,73,29,961","1,37,44,960",29%,"3,35,85,001",71%,2005
100,The Wedding Date,"4,70,96,206","3,17,26,995",67.40%,"1,53,69,211",32.60%,2005
101,Land of the Dead,"4,70,74,133","2,07,00,082",44%,"2,63,74,051",56%,2005
102,Get Rich or Die Tryin',"4,65,63,961","3,09,85,352",66.50%,"1,55,78,609",33.50%,2005
103,The Fog,"4,62,01,432","2,95,50,869",64%,"1,66,50,563",36%,2005
104,Into the Blue,"4,61,17,696","1,88,01,234",40.80%,"2,73,16,462",59.20%,2005
105,Deuce Bigalow: European Gigolo,"4,51,09,561","2,24,00,154",49.70%,"2,27,09,407",50.30%,2005
106,Dark Water 2005 Re0release,"4,43,47,079","2,54,73,352",57.40%,"1,88,73,727",42.60%,2005
107,A Lot Like Love,"4,28,86,719","2,18,45,719",50.90%,"2,10,41,000",49.10%,2005
108,Oliver Twist,"4,25,80,321","20,80,321",4.90%,"4,05,00,000",95.10%,2005
109,The Sisterhood of the Traveling Pants,"4,20,13,878","3,90,53,061",93%,"29,60,817",7%,2005
110,Serenity,"4,04,45,129","2,55,14,517",63.10%,"1,49,30,612",36.90%,2005
111,The Ringer,"4,04,42,443","3,54,28,675",87.60%,"50,13,768",12.40%,2005
112,Magnificent Desolation: Walking on the Moon,"4,03,39,402","3,41,37,524",84.60%,"62,01,878",15.40%,2005
113,Yamato,"3,92,87,114",0,0,"3,92,87,114",100%,2005
114,Dreamer,"3,87,41,732","3,27,51,093",84.50%,"59,90,639",15.50%,2005
115,Always: Sunset on Third Street,"3,85,73,583",0,0,"3,85,73,583",100%,2005
116,The Producers,"3,80,75,318","1,93,98,532",50.90%,"1,86,76,786",49.10%,2005
117,Casanova,"3,76,91,644","1,13,04,403",30%,"2,63,87,241",70%,2005
118,Beauty Shop,"3,72,45,453","3,63,51,350",97.60%,"8,94,103",2.40%,2005
119,Pokémon: Lucario and the Mystery of Mew,"3,72,28,626",0,0,"3,72,28,626",100%,2005
120,Negotiator: Mashita Masayoshi,"3,67,33,286",0,0,"3,67,33,286",100%,2005
121,Assault on Precinct 13,"3,52,94,470","2,00,40,895",56.80%,"1,52,53,575",43.20%,2005
122,Nana,"3,46,71,042",0,0,"3,46,71,042",100%,2005
123,Wild Safari 0 A South African Adventure,"3,42,57,135","1,66,21,530",48.50%,"1,76,35,605",51.50%,2005
124,Bad News Bears,"3,42,52,847","3,28,68,349",96%,"13,84,498",4%,2005
125,Because of Winn0Dixie,"3,35,89,427","3,26,47,042",97.20%,"9,42,385",2.80%,2005
126,The Cave,"3,32,96,457","1,50,07,991",45.10%,"1,82,88,466",54.90%,2005
127,Marathon,"3,32,84,089",0,0,"3,32,84,089",100%,2005
128,The Brice Man,"3,30,26,616",0,0,"3,30,26,616",100%,2005
129,Cry Wolf,"3,25,86,408","1,00,47,674",30.80%,"2,25,38,734",69.20%,2005
130,The Suspect: Muroi Shinji,"3,21,04,229",0,0,"3,21,04,229",100%,2005
131,Marrying the Mafia 2: Enemy0in0Law,"3,18,35,989",0,0,"3,18,35,989",100%,2005
132,Welcome to Dongmakgol,"3,17,87,130",0,0,"3,17,87,130",100%,2005
133,Rent,"3,16,70,620","2,90,77,547",91.80%,"25,93,073",8.20%,2005
134,The New World 2005 Re0release,"3,15,10,855","1,27,12,093",40.30%,"1,87,98,762",59.70%,2005
135,Train Man,"3,10,90,100",0,0,"3,10,90,100",100%,2005
136,The Promise,"3,09,25,693","6,69,625",2.20%,"3,02,56,068",97.80%,2005
137,Wolf Creek,"3,07,62,648","1,61,88,180",52.60%,"1,45,74,468",47.40%,2005
138,Two for the Money,"3,05,26,509","2,29,91,379",75.30%,"75,35,130",24.70%,2005
139,Cursed,"2,96,21,722","1,92,97,522",65.10%,"1,03,24,200",34.90%,2005
140,The Upside of Anger,"2,82,37,488","1,87,61,993",66.40%,"94,75,495",33.60%,2005
141,Mrs. Henderson Presents,"2,78,76,417","1,10,36,366",39.60%,"1,68,40,051",60.40%,2005
142,Ice Princess,"2,76,45,491","2,44,02,491",88.30%,"32,43,000",11.70%,2005
143,Goal! The Dream Begins,"2,76,10,873","42,83,255",15.50%,"2,33,27,618",84.50%,2005
144,The Protector,"2,71,65,581","1,20,44,087",44.30%,"1,51,21,494",55.70%,2005
145,Doogal,"2,67,11,924","74,38,000",27.80%,"1,92,73,924",72.20%,2005
146,Typhoon,"2,61,79,656","1,39,059",0.50%,"2,60,40,597",99.50%,2005
147,9th Company,"2,61,46,165",0,0,"2,61,46,165",100%,2005
148,Natale a Miami,"2,56,43,184",0,0,"2,56,43,184",100%,2005
149,The Tiger and the Snow,"2,54,60,023","10,167",<0.1%,"2,54,49,856",100%,2005
150,North Country,"2,52,11,175","1,83,37,722",72.70%,"68,73,453",27.30%,2005
151,April Snow,"2,48,73,159",0,0,"2,48,73,159",100%,2005
152,I Love You in Every Language in the World,"2,39,41,317",0,0,"2,39,41,317",100%,2005
153,Lady Vengeance,"2,38,34,149","2,11,667",0.90%,"2,36,22,482",99.10%,2005
154,Russian Dolls,"2,37,27,301","3,26,095",1.40%,"2,34,01,206",98.60%,2005
155,Hustle & Flow,"2,35,63,727","2,22,02,809",94.20%,"13,60,918",5.80%,2005
156,Another Public Enemy,"2,32,48,003",0,0,"2,32,48,003",100%,2005
157,Domino,"2,29,44,502","1,01,69,202",44.30%,"1,27,75,300",55.70%,2005
158,The White Massai,"2,26,32,255",0,0,"2,26,32,255",100%,2005
159,Manual of Love,"2,20,79,820",0,0,"2,20,79,820",100%,2005
160,Torrente 3: El protector,"2,17,62,391",0,0,"2,17,62,391",100%,2005
161,Man of the House,"2,15,77,624","1,96,99,706",91.30%,"18,77,918",8.70%,2005
162,Year One in the North,"2,13,60,942",0,0,"2,13,60,942",100%,2005
163,The Jacket,"2,11,26,225","63,03,762",29.80%,"1,48,22,463",70.20%,2005
164,The Devil's Rejects,"2,09,01,859","1,70,44,981",81.50%,"38,56,878",18.50%,2005
165,A Moment to Remember,"2,08,65,847",0,0,"2,08,65,847",100%,2005
166,Lorelei,"1,98,06,585",0,0,"1,98,06,585",100%,2005
167,The Perfect Man,"1,97,70,475","1,65,35,005",83.60%,"32,35,470",16.40%,2005
168,Mapado,"1,92,86,223",0,0,"1,92,86,223",100%,2005
169,The Weather Man,"1,91,26,398","1,24,82,775",65.30%,"66,43,623",34.70%,2005
170,Iznogoud0 Caliph Instead of the Caliph,"1,87,25,588",0,0,"1,87,25,588",100%,2005
171,Detective Conan: Strategy Above the Depths,"1,87,23,952",0,0,"1,87,23,952",100%,2005
172,Waiting...,"1,86,37,690","1,61,24,543",86.50%,"25,13,147",13.50%,2005
173,An Unfinished Life,"1,86,18,284","85,86,392",46.10%,"1,00,31,892",53.90%,2005
174,My Father and My Son,"1,86,12,999",0,0,"1,86,12,999",100%,2005
175,Keeping Mum,"1,85,75,768","16,19,466",8.70%,"1,69,56,302",91.30%,2005
176,The Turkish Gambit,"1,85,20,000",0,0,"1,85,20,000",100%,2005
177,As It Is in Heaven,"1,83,18,233",0,0,"1,83,18,233",100%,2005
178,The World's Fastest Indian,"1,82,97,690","51,28,124",28%,"1,31,69,566",72%,2005
179,Night Watch 2005 Re0release,"1,79,39,389","15,02,188",8.40%,"1,64,37,201",91.60%,2005
180,Joyeux Noel,"1,77,09,155","10,54,361",6%,"1,66,54,794",94%,2005
181,You Are My Sunshine,"1,76,50,142",0,0,"1,76,50,142",100%,2005
182,Palais royal!,"1,76,12,135",0,0,"1,76,12,135",100%,2005
183,Roll Bounce,"1,75,00,866","1,73,80,866",99.30%,"1,20,000",0.70%,2005
